anzsic_code,anzsic_desc,class_code,class_desc,group_code,group_desc,subdivision_code,subdivision_desc,division_code,division_desc,class_exclusions
A0111_01,Horticultural Nursery - Under Cover (Excl Forest),0111,Nursery Production (Under Cover),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) outdoors are included in Class 0112 Nursery Production (Outdoors) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection under cover are included in Class 0114 Floriculture Production (Under Cover) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_01,Fruit Tree Nursery Operation,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_02,Forest Nursery Operation or Service,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_03,Plant Stock Growing n.e.c.,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_04,Seedling Growing,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_05,Vine Stock Nursery Operation,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_06,Horticultural Nursery - Outdoors (Excl Forest),0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_07,Ornamental Plant Growing ,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0112_08,Plant Nursery Operation,0112,Nursery Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",propagating and/or growing plants (or parts of plants) under cover are included in Class 0111 Nursery Production (Under Cover) | growing turf for transplanting are included in Class 0113 Turf Growing | growing cut flowers or foliage for display or growing flowers for seed collection outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing nursery stock for forests are included in Class 0510 Forestry Support Services.
A0113_01,Turf Growing,0113,Turf Growing,11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",No exclusion
A0114_02,Floriculture - Under Cover,0114,Floriculture Production (Under Cover),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",growing and/or producing floriculture products outdoors are included in Class 0115 Floriculture Production (Outdoors) | growing bulbs or ornamental plants under cover are included in Class 0111 Nursery Production (Under Cover).
A0115_01,"Display Foliage, Flower and Flower Seed Growing, Bulb Propogating and Growing",0115,Floriculture Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",growing and/or producing floriculture products under cover are included in Class 0114 Floriculture Production (Under Cover) | growing bulbs or ornamental plants outdoors for sale are included in Class 0112 Nursery Production (Outdoors).
A0115_02,Floriculture - Outdoors,0115,Floriculture Production (Outdoors),11,Nursery and Floriculture Production,01,Agriculture,A,"Agriculture, Forestry and Fishing",growing and/or producing floriculture products under cover are included in Class 0114 Floriculture Production (Under Cover) | growing bulbs or ornamental plants outdoors for sale are included in Class 0112 Nursery Production (Outdoors).
A0121_01,Mushroom Growing,0121,Mushroom Growing,12,Mushroom and Vegetable Growing,01,Agriculture,A,"Agriculture, Forestry and Fishing",growing truffles are included in Class 0123 Vegetable Growing (Outdoors) | gathering forest mushrooms are included in Class 0301 Forestry.
A0122_01,Vegetable Growing - Under Cover,0122,Vegetable Growing (Under Cover),12,Mushroom and Vegetable Growing,01,Agriculture,A,"Agriculture, Forestry and Fishing","growing cultivated mushrooms are included in Class 0121 Mushroom Growing | growing vegetables outdoors in open fields are included in Class 0123 Vegetable Growing (Outdoors) | processing vegetables, including freezing, dehydrating or canning, are included in Class 1140 Fruit and Vegetable Processing."
A0123_01,Hydroponics - Vegetable Growing,0123,Vegetable Growing (Outdoors),12,Mushroom and Vegetable Growing,01,Agriculture,A,"Agriculture, Forestry and Fishing","growing cultivated mushrooms are included in Class 0121 Mushroom Growing | growing vegetables under cover are included in Class 0122 Vegetable Growing (Under Cover) | growing dry field peas, beans or soybeans are included in Class 0149 Other Grain Growing."
